CABLE-LENGTH,EXPANDED,GENERATED,TIME,PATH-A-L,PATH-B-L,CABLE-L,PATH-A,PATH-B,CABLE
450,36,376,5.3056515,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
452,36,376,5.3391762,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
454,36,377,5.231846,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
456,36,377,5.2727303,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
458,36,378,5.4893534,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
460,37,379,5.4691923,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
462,37,379,5.4146736,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
464,37,380,5.6102622,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
466,37,380,5.376561,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
468,37,380,5.3018316,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
470,37,380,5.9108917,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
472,37,380,4.9854886,277.7134254,291.645451,349.7925139,"[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
474,12,129,1.1540476,277.7134254,275.8061832,473.5669372,"[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
476,12,129,1.1829002,277.7134254,275.8061832,473.5669372,"[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
478,12,130,1.1663762,277.7134254,275.8061832,473.5669372,"[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
480,12,130,1.1253914,277.7134254,275.8061832,473.5669372,"[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
482,12,131,1.1289733,277.7134254,275.8061832,473.5669372,"[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
484,12,131,1.1778292,277.7134254,275.8061832,473.5669372,"[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
486,12,131,1.3176555,277.7134254,275.8061832,473.5669372,"[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
488,12,131,1.1669505,277.7134254,275.8061832,473.5669372,"[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
490,12,131,1.1956966,277.7134254,275.8061832,473.5669372,"[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
492,12,131,1.1629244,277.7134254,275.8061832,473.5669372,"[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
494,12,131,1.1571764,277.7134254,275.8061832,473.5669372,"[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
496,12,132,1.1310029,277.7134254,275.8061832,473.5669372,"[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
498,12,132,1.1675922,277.7134254,275.8061832,473.5669372,"[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
500,12,132,1.1806318,277.7134254,275.8061832,473.5669372,"[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
502,12,132,1.273004,277.7134254,275.8061832,473.5669372,"[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
504,12,132,1.175887,277.7134254,275.8061832,473.5669372,"[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
506,12,132,1.1635605,277.7134254,275.8061832,473.5669372,"[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
508,12,132,1.2041741,277.7134254,275.8061832,473.5669372,"[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
510,12,132,1.1718708,277.7134254,275.8061832,473.5669372,"[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
512,12,132,1.1784402,277.7134254,275.8061832,473.5669372,"[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
514,12,132,1.1802803,277.7134254,275.8061832,473.5669372,"[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
516,12,132,1.1924172,277.7134254,275.8061832,473.5669372,"[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
518,12,132,1.1786278,277.7134254,275.8061832,473.5669372,"[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
