"CABLE LENGTH","EXPANDED","GENERATED","TIME","PATH-A-L","PATH-B-L","CABLE-L","PATH-A","PATH-B","CABLE"
"510","12","132","1.1610829999999623","277.7134253506677","275.80618316798723","473.56693723712215","[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
"515","12","132","1.1378778000000693","277.7134253506677","275.80618316798723","473.56693723712215","[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
"520","12","132","1.1417622999999821","277.7134253506677","275.80618316798723","473.56693723712215","[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
"525","12","132","1.1365455999999767","277.7134253506677","275.80618316798723","473.56693723712215","[R1, O0-1, O0-2, D1]","[R2, O4-3, D2, D2]","[D1, O3-0, O1-0, O1-1, O4-3, D2]"
"530","3","35","0.13940020000006825","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"535","3","35","0.1522567000000663","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"540","3","35","0.14333099999998922","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"545","3","35","0.14905429999998887","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"550","3","35","0.1472872000000507","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"555","3","35","0.13554999999996653","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"560","3","35","0.13729639999996834","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"565","3","35","0.15084219999994275","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"570","3","35","0.13499930000000404","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"575","3","35","0.1379976999999144","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"580","3","35","0.137546200000088","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"585","3","35","0.1363519000000224","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"590","3","35","0.13662750000003143","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"595","3","35","0.1361699999999928","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"600","3","35","0.13588189999995848","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"605","3","35","0.13531649999993078","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"610","3","35","0.1372363000000405","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"615","3","35","0.14164949999997134","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"620","3","35","0.144719699999996","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"625","3","35","0.1369437000000744","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"630","3","35","0.13442689999999402","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"635","3","35","0.1393934000000172","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"640","3","35","0.14343299999995907","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
